City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Hasaki,35.7333,140.8333,38.21,87,100,13.24,overcast clouds
140,La Asuncion,11.0333,-63.8628,75.07,88,68,15.1,light rain
141,Castro,-24.7911,-50.0119,66.4,94,76,3.44,broken clouds
142,Quatre Cocos,-20.2078,57.7625,77.09,81,100,5.77,overcast clouds
143,Longyearbyen,78.2186,15.6401,37.24,81,75,12.66,moderate rain
144,Itarema,-2.9248,-39.9167,78.89,80,23,11.97,few clouds
145,Ullapool,57.8987,-5.1604,41.09,99,100,6.44,light rain
146,Penzance,50.1186,-5.5371,47.08,80,100,17.87,overcast clouds
147,Qaanaaq,77.484,-69.3632,-27.0,75,99,7.58,overcast clouds
148,Ilulissat,69.2167,-51.1,19.42,73,100,16.11,light shower snow
149,East London,-33.0153,27.9116,72.16,88,100,5.08,light rain
150,Lebu,-37.6167,-73.65,62.35,83,1,12.91,clear sky
151,Bonavista,48.6499,-53.1147,27.12,78,94,18.03,overcast clouds
152,Kolpashevo,58.3131,82.9089,3.72,96,100,6.96,light snow
153,Lashio,22.9333,97.75,44.78,69,20,1.92,few clouds
154,Esmeraldas,-19.7625,-44.3139,72.46,93,100,2.13,overcast clouds
155,Anadyr,64.75,177.4833,-10.7,69,0,2.24,clear sky
156,Ambulu,-8.345,113.6058,73.62,90,93,3.09,overcast clouds
157,Hilo,19.7297,-155.09,81.28,74,40,11.5,scattered clouds
158,Kem,64.9555,34.5793,18.23,85,51,10.74,broken clouds
159,Sicamous,50.8331,-118.9856,34.2,83,90,1.92,overcast clouds
160,Kangaba,11.9333,-8.4167,81.16,17,79,2.15,broken clouds
161,Baykit,61.67,96.37,-25.85,98,100,3.13,overcast clouds
162,Mayo,38.8876,-76.5119,41.11,90,100,4.61,mist
163,Cam Ranh,11.9214,109.1591,76.96,78,20,8.05,few clouds
164,Avera,33.194,-82.5271,47.71,97,100,10.49,moderate rain
165,Hirado,33.3597,129.5531,43.39,79,100,21.07,overcast clouds
166,Murindo,6.9848,-76.7544,76.48,94,50,2.1,scattered clouds
167,Carnarvon,-24.8667,113.6333,75.47,75,37,19.66,scattered clouds
168,Lorengau,-2.0226,147.2712,83.66,76,90,9.26,overcast clouds
169,Richards Bay,-28.783,32.0377,73.22,89,10,4.18,clear sky
170,The Pas,53.8251,-101.2541,30.22,93,100,8.05,light snow
